YR MNTH DY HR SWE PRCP RAIM TAIR PET ET MOD_RUN OBS_RUN
1980 12 24 12  45.2553000   2.4300000   0.0510000  -6.2300000   0.1354000   0.1346000   1.4010000   1.3322000
1980 12 25 12  46.3831000   1.1500000   0.0509000 -13.4950000   0.0060000   0.0060000   1.3789000   1.2906000
1980 12 26 12  46.3322000   0.0000000   0.0509000 -22.2400000   0.0483000   0.0481000   1.3574000   1.2698000
1980 12 27 12  47.8700000   1.5500000   0.0509000 -14.5100000   0.0750000   0.0746000   1.3360000   1.2489000
1980 12 28 12  47.8191000   0.0000000   0.0509000 -12.2900000   0.0200000   0.0199000   1.3152000   1.2614000
1980 12 29 12  47.7683000   0.0000000   0.0509000  -2.5000000   0.1288000   0.1281000   1.2952000   1.2073000
1980 12 30 12  54.3889000   6.6800000   0.0594000  -0.1800000   0.2826000   0.2809000   1.2756000   1.3405000
1980 12 31 12  57.7577000   3.3400000   0.0547000  -1.3350000   0.2105000   0.2091000   1.2563000   1.3697000
1981 01 01 12  57.7031000   0.0000000   0.0547000 -16.1350000   0.0826000   0.0820000   1.2373000   1.2739000
1981 01 02 12  62.1485000   4.3900000   0.0543000 -11.2800000   0.1133000   0.1124000   1.2185000   1.2031000
1981 01 03 12  71.2993000   8.9800000   0.0537000 -14.6450000   0.0775000   0.0769000   1.2001000   1.1657000
1981 01 04 12  71.2456000   0.0000000   0.0537000 -23.8400000   0.0627000   0.0622000   1.1819000   1.1240000
1981 01 05 12  71.1919000   0.0000000   0.0537000 -21.3050000   0.0540000   0.0536000   1.1641000   1.0824000
1981 01 06 12  71.1383000   0.0000000   0.0537000 -15.6750000   0.0574000   0.0570000   1.1465000   1.0408000
1981 01 07 12  81.1198000   9.7900000   0.0532000  -6.3200000   0.1240000   0.1230000   1.1292000   1.0200000
1981 01 08 12  90.6507000   9.3500000   0.0529000  -7.6950000   0.1023000   0.1015000   1.1121000   0.9992000
1981 01 09 12  90.5978000   0.0000000   0.0529000 -17.2600000   0.0945000   0.0938000   1.0953000   0.9783000
1981 01 10 12  93.9583000   3.3300000   0.0528000 -15.2250000   0.1361000   0.1350000   1.0788000   0.9575000
1981 01 11 12 100.1173000   6.0600000   0.0526000 -13.4800000   0.1887000   0.1871000   1.0625000   0.9367000
1981 01 12 12 100.0647000   0.0000000   0.0526000 -18.2450000   0.1018000   0.1009000   1.0464000   0.9159000
1981 01 13 12 105.2910000   5.1500000   0.0524000 -17.0250000   0.1386000   0.1374000   1.0307000   0.8951000
1981 01 14 12 108.9389000   3.6100000   0.0524000 -14.6250000   0.1692000   0.1676000   1.0151000   0.8743000
